county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,brad_schimel_rep,josh_kaul_dem,terry_larson_con,scattering,race
ASHLAND,City of ASHLAND,City of ASHLAND Ward 6,Congressional - District 7,State Senate - District 25,Assembly - District 74,57,175,10,0,attorney general
ASHLAND,City of ASHLAND,City of ASHLAND Ward 7,Congressional - District 7,State Senate - District 25,Assembly - District 74,85,275,11,1,attorney general
ASHLAND,City of ASHLAND,City of ASHLAND Ward 8,Congressional - District 7,State Senate - District 25,Assembly - District 74,80,201,1,0,attorney general
ASHLAND,City of ASHLAND,City of ASHLAND Ward 9,Congressional - District 7,State Senate - District 25,Assembly - District 74,56,167,9,1,attorney general
ASHLAND,City of ASHLAND,City of ASHLAND Ward 10,Congressional - District 7,State Senate - District 25,Assembly - District 74,87,176,8,0,attorney general
ASHLAND,City of ASHLAND,City of ASHLAND Ward 11,Congressional - District 7,State Senate - District 25,Assembly - District 74,106,217,4,0,attorney general
ASHLAND,City of MELLEN,City of MELLEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,91,120,4,0,attorney general
BARRON,Town of ALMENA,Town of ALMENA Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,235,143,10,0,attorney general
BARRON,Town of ARLAND,Town of ARLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,121,115,6,0,attorney general
BARRON,Town of BARRON,Town of BARRON Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,229,80,9,0,attorney general
BARRON,Town of BEAR LAKE,Town of BEAR LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,166,134,7,0,attorney general
BARRON,Town of CEDAR LAKE,Town of CEDAR LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,421,198,8,0,attorney general
BARRON,Town of CHETEK,Town of CHETEK Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,541,351,15,0,attorney general
BARRON,Town of CLINTON,Town of CLINTON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,159,106,3,0,attorney general
BARRON,Town of CRYSTAL LAKE,Town of CRYSTAL LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,201,121,5,0,attorney general
BARRON,Town of CUMBERLAND,Town of CUMBERLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,227,160,5,0,attorney general
BARRON,Town of DALLAS,Town of DALLAS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,164,70,1,0,attorney general
BARRON,Town of DOVRE,Town of DOVRE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,182,128,9,0,attorney general
BARRON,Town of DOYLE,Town of DOYLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,149,78,3,0,attorney general
BARRON,Town of LAKELAND,Town of LAKELAND Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,292,175,8,0,attorney general
BARRON,Town of MAPLE GROVE,Town of MAPLE GROVE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,259,112,6,0,attorney general
BARRON,Town of MAPLE PLAIN,Town of MAPLE PLAIN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,209,195,4,0,attorney general
BARRON,Town of OAK GROVE,Town of OAK GROVE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,230,158,10,0,attorney general
BARRON,Town of PRAIRIE FARM,Town of PRAIRIE FARM Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,127,87,6,0,attorney general
BARRON,Town of PRAIRIE LAKE,Town of PRAIRIE LAKE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,458,243,25,0,attorney general
BARRON,Town of RICE LAKE,Town of RICE LAKE Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,723,610,22,0,attorney general
BARRON,Town of SIOUX CREEK,Town of SIOUX CREEK Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,176,90,8,0,attorney general
BARRON,Town of STANFOLD,Town of STANFOLD Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,198,114,3,0,attorney general
BARRON,Town of STANLEY,Town of STANLEY Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,678,399,20,0,attorney general
BARRON,Town of SUMNER,Town of SUMNER Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,185,124,7,0,attorney general
BARRON,Town of TURTLE LAKE,Town of TURTLE LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,138,95,5,0,attorney general
BARRON,Town of VANCE CREEK,Town of VANCE CREEK Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,146,120,4,0,attorney general
BARRON,Village of ALMENA,Village of ALMENA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,141,55,10,0,attorney general
BARRON,Village of CAMERON,Village of CAMERON Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 75,337,246,14,0,attorney general
BARRON,Village of DALLAS,Village of DALLAS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,75,37,5,0,attorney general
BARRON,Village of HAUGEN,Village of HAUGEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,67,54,5,0,attorney general
BARRON,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN Ward 2,Congressional - District 7,State Senate - District 23,Assembly - District 67,3,5,0,0,attorney general
BARRON,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN Ward 3,Congressional - District 7,State Senate - District 25,Assembly - District 75,0,0,0,0,attorney general
BARRON,Village of PRAIRIE FARM,Village of PRAIRIE FARM Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,80,59,3,0,attorney general
BARRON,Village of TURTLE LAKE,Village of TURTLE LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,146,110,7,0,attorney general
BARRON,City of BARRON,City of BARRON Wards 1-7,Congressional - District 7,State Senate - District 25,Assembly - District 75,532,494,29,1,attorney general
BARRON,City of CHETEK,City of CHETEK Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,421,344,18,0,attorney general
BARRON,City of CUMBERLAND,City of CUMBERLAND Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,468,435,20,0,attorney general
BARRON,City of RICE LAKE,City of RICE LAKE Wards 1-13,Congressional - District 7,State Senate - District 25,Assembly - District 75,1563,1466,62,0,attorney general
BAYFIELD,Town of BARKSDALE,Town of BARKSDALE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,175,236,11,0,attorney general
BAYFIELD,Town of BARNES,Town of BARNES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,263,244,6,0,attorney general
BAYFIELD,Town of BAYFIELD,Town of BAYFIELD Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,131,341,6,0,attorney general
BAYFIELD,Town of BAYVIEW,Town of BAYVIEW Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,129,189,2,0,attorney general
BAYFIELD,Town of BELL,Town of BELL Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,74,145,3,0,attorney general
BAYFIELD,Town of CABLE,Town of CABLE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,239,227,8,0,attorney general
BAYFIELD,Town of CLOVER,Town of CLOVER Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,68,96,0,0,attorney general
BAYFIELD,Town of DELTA,Town of DELTA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,107,91,3,0,attorney general
BAYFIELD,Town of DRUMMOND,Town of DRUMMOND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,131,149,2,0,attorney general
BAYFIELD,Town of EILEEN,Town of EILEEN Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,175,194,2,0,attorney general
BAYFIELD,Town of GRAND VIEW,Town of GRAND VIEW Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,121,147,4,0,attorney general
BAYFIELD,Town of HUGHES,Town of HUGHES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,111,140,6,0,attorney general
BAYFIELD,Town of IRON RIVER,Town of IRON RIVER Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,313,315,6,0,attorney general
BAYFIELD,Town of KELLY,Town of KELLY Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,112,94,3,0,attorney general
BAYFIELD,Town of KEYSTONE,Town of KEYSTONE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,95,73,4,0,attorney general
BAYFIELD,Town of LINCOLN,Town of LINCOLN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,69,75,7,0,attorney general
BAYFIELD,Town of MASON,Town of MASON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,79,75,2,0,attorney general
BAYFIELD,Town of NAMAKAGON,Town of NAMAKAGON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,131,90,1,0,attorney general
BAYFIELD,Town of ORIENTA,Town of ORIENTA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,43,37,1,0,attorney general
BAYFIELD,Town of OULU,Town of OULU Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,141,157,6,0,attorney general
BAYFIELD,Town of PILSEN,Town of PILSEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,52,71,0,0,attorney general
BAYFIELD,Town of PORT WING,Town of PORT WING Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,99,148,3,0,attorney general
BAYFIELD,Town of RUSSELL,Town of RUSSELL Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,79,431,9,0,attorney general
BAYFIELD,Town of TRIPP,Town of TRIPP Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,67,62,2,0,attorney general
BAYFIELD,Town of WASHBURN,Town of WASHBURN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,94,214,1,0,attorney general
BAYFIELD,Village of MASON,Village of MASON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,14,16,0,0,attorney general
BAYFIELD,CITY OF ASHLAND,CITY OF ASHLAND Ward 12,Congressional - District 7,State Senate - District 25,Assembly - District 74,0,0,0,0,attorney general
BAYFIELD,City of BAYFIELD,City of BAYFIELD Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 74,56,262,3,0,attorney general
BAYFIELD,City of WASHBURN,City of WASHBURN Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 74,235,794,19,0,attorney general
BROWN,Town of EATON,Town of EATON Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 1,510,290,15,0,attorney general
BROWN,Town of GLENMORE,Town of GLENMORE Wards 1-2,Congressional - District 8,State Senate - District 30,Assembly - District 88,363,160,9,0,attorney general
BROWN,Town of GREEN BAY,Town of GREEN BAY Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 1,785,344,9,0,attorney general
BROWN,Town of HOLLAND,Town of HOLLAND Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 2,537,250,14,1,attorney general
BROWN,Town of HUMBOLDT,Town of HUMBOLDT Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 1,452,220,16,1,attorney general
BROWN,Town of LAWRENCE,Town of LAWRENCE Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,836,508,19,0,attorney general
BROWN,Town of LAWRENCE,Town of LAWRENCE Wards 4-6,Congressional - District 8,State Senate - District 1,Assembly - District 2,1110,520,23,2,attorney general
BROWN,Town of LEDGEVIEW,"Town of LEDGEVIEW Wards 1-3,8-10",Congressional - District 8,State Senate - District 30,Assembly - District 88,1341,835,20,0,attorney general
BROWN,Town of LEDGEVIEW,Town of LEDGEVIEW Wards 4-7,Congressional - District 8,State Senate - District 1,Assembly - District 2,1091,748,24,0,attorney general
BROWN,Town of MORRISON,Town of MORRISON Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 2,566,178,13,0,attorney general
BROWN,Town of NEW DENMARK,Town of NEW DENMARK Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,499,316,16,0,attorney general
BROWN,Town of PITTSFIELD,Town of PITTSFIELD Wards 1-3,Congressional - District 8,State Senate - District 2,Assembly - District 6,1027,454,17,0,attorney general
BROWN,Town of ROCKLAND,Town of ROCKLAND Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,644,324,8,1,attorney general
BROWN,Town of SCOTT,Town of SCOTT Wards 1-4,Congressional - District 8,State Senate - District 1,Assembly - District 1,1167,839,17,1,attorney general
BROWN,Town of WRIGHTSTOWN,Town of WRIGHTSTOWN Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,728,342,25,1,attorney general
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 1-2,Congressional - District 8,State Senate - District 2,Assembly - District 4,760,999,46,2,attorney general
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 3-4,Congressional - District 8,State Senate - District 2,Assembly - District 4,760,862,18,2,attorney general
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 5-6,Congressional - District 8,State Senate - District 2,Assembly - District 4,1109,926,33,1,attorney general
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 7-9,Congressional - District 8,State Senate - District 2,Assembly - District 4,832,771,19,2,attorney general
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Ward 10,Congressional - District 8,State Senate - District 30,Assembly - District 88,0,0,0,0,attorney general
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 1-2,Congressional - District 8,State Senate - District 2,Assembly - District 4,542,508,25,2,attorney general
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 3-4,Congressional - District 8,State Senate - District 2,Assembly - District 4,573,460,19,1,attorney general
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 5-6,Congressional - District 8,State Senate - District 2,Assembly - District 4,684,591,27,2,attorney general
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 7-8,Congressional - District 8,State Senate - District 2,Assembly - District 4,881,644,22,1,attorney general
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 9-10,Congressional - District 8,State Senate - District 2,Assembly - District 4,970,710,25,0,attorney general
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 11-12,Congressional - District 8,State Senate - District 2,Assembly - District 4,789,704,18,0,attorney general
BROWN,Village of BELLEVUE,Village of BELLEVUE Wards 1-6,Congressional - District 8,State Senate - District 30,Assembly - District 88,1681,1484,64,0,attorney general
BROWN,Village of BELLEVUE,Village of BELLEVUE Wards 7-10,Congressional - District 8,State Senate - District 30,Assembly - District 88,2223,1581,44,0,attorney general
BROWN,Village of DENMARK,Village of DENMARK Wards 1-4,Congressional - District 8,State Senate - District 1,Assembly - District 2,570,337,14,0,attorney general
BROWN,Village of HOBART,Village of HOBART Wards 1-8,Congressional - District 8,State Senate - District 2,Assembly - District 5,2469,1590,64,5,attorney general
BROWN,Village of HOBART,Village of HOBART Ward 9,Congressional - District 8,State Senate - District 1,Assembly - District 2,17,17,0,0,attorney general
BROWN,Village of HOWARD,"Village of HOWARD Wards 1,12",Congressional - District 8,State Senate - District 30,Assembly - District 89,616,378,25,0,attorney general
BROWN,Village of HOWARD,"Village of HOWARD Wards 2,8,11",Congressional - District 8,State Senate - District 2,Assembly - District 4,1305,900,24,0,attorney general
BROWN,Village of HOWARD,"Village of HOWARD Wards 3-4,6",Congressional - District 8,State Senate - District 30,Assembly - District 89,570,523,40,1,attorney general
BROWN,Village of HOWARD,Village of HOWARD Ward 5,Congressional - District 8,State Senate - District 2,Assembly - District 4,190,137,9,0,attorney general
BROWN,Village of HOWARD,Village of HOWARD Ward 7,Congressional - District 8,State Senate - District 2,Assembly - District 5,350,268,4,0,attorney general
BROWN,Village of HOWARD,"Village of HOWARD Wards 9-10,18",Congressional - District 8,State Senate - District 2,Assembly - District 4,879,704,24,0,attorney general
BROWN,Village of HOWARD,Village of HOWARD Wards 13-14,Congressional - District 8,State Senate - District 30,Assembly - District 89,593,375,21,0,attorney general
BROWN,Village of HOWARD,Village of HOWARD Wards 15-16,Congressional - District 8,State Senate - District 2,Assembly - District 5,909,521,23,0,attorney general
BROWN,Village of PULASKI,"Village of PULASKI Wards 1-3,6",Congressional - District 8,State Senate - District 2,Assembly - District 6,769,490,25,0,attorney general
BROWN,Village of SUAMICO,Village of SUAMICO Wards 1-4,Congressional - District 8,State Senate - District 30,Assembly - District 89,1943,996,49,0,attorney general
BROWN,Village of SUAMICO,Village of SUAMICO Wards 5-8,Congressional - District 8,State Senate - District 30,Assembly - District 89,2286,1300,50,1,attorney general
BROWN,Village of WRIGHTSTOWN,Village of WRIGHTSTOWN Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,755,401,19,1,attorney general
BROWN,City of DE PERE,City of DE PERE Wards 1-4,Congressional - District 8,State Senate - District 30,Assembly - District 88,1708,1589,38,1,attorney general
BROWN,City of DE PERE,City of DE PERE Ward 5,Congressional - District 8,State Senate - District 1,Assembly - District 2,91,147,2,0,attorney general
BROWN,City of DE PERE,City of DE PERE Wards 6-8,Congressional - District 8,State Senate - District 30,Assembly - District 88,1089,1158,40,2,attorney general
BROWN,City of DE PERE,"City of DE PERE Wards 9,18",Congressional - District 8,State Senate - District 1,Assembly - District 2,310,278,10,0,attorney general
BROWN,City of DE PERE,City of DE PERE Wards 10-12,Congressional - District 8,State Senate - District 1,Assembly - District 2,1145,1182,62,0,attorney general
BROWN,City of DE PERE,City of DE PERE Wards 13-15,Congressional - District 8,State Senate - District 1,Assembly - District 2,1626,1236,56,1,attorney general
BROWN,City of DE PERE,City of DE PERE Wards 16-17,Congressional - District 8,State Senate - District 2,Assembly - District 4,5,0,0,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 1,Congressional - District 8,State Senate - District 1,Assembly - District 1,6,3,0,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 2,Congressional - District 8,State Senate - District 30,Assembly - District 88,613,542,14,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 3,Congressional - District 8,State Senate - District 30,Assembly - District 88,580,822,32,1,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 4,Congressional - District 8,State Senate - District 30,Assembly - District 88,950,783,32,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 5,Congressional - District 8,State Senate - District 30,Assembly - District 88,358,294,9,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 6,Congressional - District 8,State Senate - District 30,Assembly - District 88,807,635,22,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 7,Congressional - District 8,State Senate - District 30,Assembly - District 88,448,408,14,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 8,Congressional - District 8,State Senate - District 30,Assembly - District 88,740,721,17,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 9,Congressional - District 8,State Senate - District 30,Assembly - District 88,194,281,17,1,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 10,Congressional - District 8,State Senate - District 30,Assembly - District 88,227,306,13,1,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 11,Congressional - District 8,State Senate - District 30,Assembly - District 88,309,271,14,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 12,Congressional - District 8,State Senate - District 30,Assembly - District 90,209,301,21,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 13,Congressional - District 8,State Senate - District 30,Assembly - District 90,161,387,22,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 14,Congressional - District 8,State Senate - District 30,Assembly - District 88,258,329,15,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 15,Congressional - District 8,State Senate - District 30,Assembly - District 90,376,665,31,2,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 16,Congressional - District 8,State Senate - District 30,Assembly - District 90,288,591,21,3,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 17,Congressional - District 8,State Senate - District 30,Assembly - District 90,265,445,18,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 18,Congressional - District 8,State Senate - District 30,Assembly - District 88,326,418,13,1,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 19,Congressional - District 8,State Senate - District 30,Assembly - District 90,194,334,11,1,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 20,Congressional - District 8,State Senate - District 30,Assembly - District 90,216,381,18,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 21,Congressional - District 8,State Senate - District 30,Assembly - District 90,163,341,21,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 22,Congressional - District 8,State Senate - District 30,Assembly - District 88,119,146,9,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 23,Congressional - District 8,State Senate - District 30,Assembly - District 90,214,359,14,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 24,Congressional - District 8,State Senate - District 30,Assembly - District 90,276,424,28,1,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 25,Congressional - District 8,State Senate - District 30,Assembly - District 90,302,380,22,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 26,Congressional - District 8,State Senate - District 30,Assembly - District 90,238,441,25,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 27,Congressional - District 8,State Senate - District 30,Assembly - District 90,79,173,8,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 28,Congressional - District 8,State Senate - District 30,Assembly - District 90,223,423,21,0,attorney general
BROWN,City of GREEN BAY,City of GREEN BAY Ward 29,Congressional - District 8,State Senate - District 30,Assembly - District 90,422,535,33,2,attorney general
